kidx  bank     ksize   kexp | DPid  dpsize  dpexp  dpname              | match  | evidence
409   all      2800    7    | 409   2800    7                              | 8.0    | 
410   all      1984    7    | 410   1984    7                              | 8.0    | 
411   all      3264    7    | 411   3264    7                              | 8.0    | 
412   all      304     7    | 412   304     7      objects/412_IMicepillar | IDENT  | 
413   all      1696    10   | 413   1696    10     objects/413_IMspacecraft| 8.0    | 
414   all      2000    7    | 414   2000    7                              | 8.0    | 
415   all      640     7    | 415   640     7                              | 8.0    | 
416   all      1216    7    | 416   1216    7                              | 8.0    | 
417   all      9408    21   | 417   9408    21     objects/417_DFlog       | 8.0    | 
418   all      768     7    | 418   768     7      objects/418_DFriverflow | 8.0    | 
419   all      688     7    | 419   688     7      objects/419_DFdockpoint | 8.0    | 
420   all      8736    17   | 420   8736    17     objects/420_DFropenode  | 8.0    | 
421   all      2896    7    | 421   2896    7      objects/421_DFcradle    | 8.0    | 
422   all      1632    7    | 422   1632    7      objects/422_DFpulley    | 8.0    | 
423   all      3232    7    | 423   3232    7      objects/423_DFbarrel    | 8.0    | 
